vercel_project_name	deployment_id	deployment_url	created_at	production_or_preview	deployment_state	source_branch	source_commit	mapped_project_id	notes
glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout-playground	dpl_FciRBUD53gzUW9mpV5izz32VrEgH	https://glasslab-liquid-dom-master-1-liquid-dom-master-packa-j15mgh1t5.vercel.app	2026-07-10T02:28:08.227000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout	dpl_4An1TQpfU6X6Xu27RjDgpGm4k45G	https://glasslab-liquid-dom-master-1-liquid-dom-master-packa-jy5g3wsl9.vercel.app	2026-07-10T02:27:58.360000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master	dpl_FmWmZE22FcECBqcA6T8X2Y6pjton	https://glasslab-liquid-dom-master-1-liquid-dom-master-ii9j9mkcm.vercel.app	2026-07-10T02:27:23.454000+00:00	production	READY				
glasslab-select-dropdown-with-appearance-base-select-liquid-glass-1-select-dropdown-with-appear	dpl_5HeE2QFsdtEEoQ2VHYDxJGhh3CUM	https://glasslab-select-dropdown-with-appearance-base-select-86igffhz7.vercel.app	2026-07-10T02:26:47.431000+00:00	production	READY				
glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aer	dpl_BKd1UuXhTJcvZjY1k3b9b4tDW14K	https://glasslab-press-starthot-wheels-aerial-pursuit-liquid-bzq3ctlpp.vercel.app	2026-07-10T02:25:39.863000+00:00	production	READY				
glasslab-liquid-glass-menu-liquid-glass-menu-src	dpl_GFXv6nSHQZZS24x1QyYnTX4sEQdy	https://glasslab-liquid-glass-menu-liquid-glass-menu-f35bh42ge.vercel.app	2026-07-10T02:25:27.181000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client	dpl_8Hrs6cpsb2zfXFhDBy5J2KdLSu2y	https://glasslab-frontend-projects-main-frontend-projects-5s5n228bo.vercel.app	2026-07-10T02:24:12.133000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app	dpl_EWzTt1dD4P4uuyLWLQiyteX1ecKa	https://glasslab-frontend-projects-main-frontend-projects-57s0ayj10.vercel.app	2026-07-10T02:23:49.163000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-tictactoe	dpl_J26rVH9epgdiSQ5GMobE8oKfXudR	https://glasslab-frontend-projects-main-frontend-projects-5t6jgjqom.vercel.app	2026-07-10T02:21:54.318000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront	dpl_2DSJU7cKBQ77srxnXuv2TbxQspiq	https://glasslab-frontend-projects-main-frontend-projects-ooxhvp48q.vercel.app	2026-07-10T02:21:23.328000+00:00	production	READY				
glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main	dpl_Gb8TC6D5iLcSeUxnCUAqTmRCaFGB	https://glasslab-7-aero-stylesheet-main-7-aero-stylesheet-li05qelm0.vercel.app	2026-07-10T02:19:10.343000+00:00	production	READY				
glasslab-7-css-main-7-css-main	dpl_5755cpn9aewn8r1g34v2KPjotx3F	https://glasslab-7-css-main-7-css-main-k7mrlyyfc-lekandigitals-projects.vercel.app	2026-07-10T02:18:54.113000+00:00	production	READY				
glasslab-css-glass-main-css-glass-main	dpl_Fdh52JXxHrpsZQfndrJVqMU8aP9h	https://glasslab-css-glass-main-css-glass-main-m8vdb43dj.vercel.app	2026-07-10T02:18:12.931000+00:00	production	READY				
glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla	dpl_jsyHRzhLZoy76CgfKG7yM11ehNrV	https://glasslab-glass-refraction-master-1-glass-refraction-436o8kzlx.vercel.app	2026-07-10T02:17:51.671000+00:00	production	READY				
glasslab-glass-refraction-master-1-glass-refraction-master	dpl_7SxviojvTVkCZvxoJqSStq5Nw39Z	https://glasslab-glass-refraction-master-1-glass-refraction-1tyatec2m.vercel.app	2026-07-10T02:17:43.089000+00:00	production	READY				
1001ud-me	dpl_GmT51PHoepXCwfBtr3GiVaKHLhiB	https://1001ud-a51p0zx8s-lekandigitals-projects.vercel.app	2026-07-09T22:59:28.616000+00:00	production	READY	main	246e765875d31243c9769b318692f2ede40e5113		
hy-ms	dpl_7cp7TaXepZJLVeYVFSg5KskQ7pJN	https://hy-o0pphe0yk-lekandigitals-projects.vercel.app	2026-07-09T22:44:44+00:00	production	READY	main	1d976d5c3270b19c7fd495a010da50b212aa1095		
1001ud-blog-me	dpl_8vauWcznJ91BsCyS9uhWCxwc2vXS	https://1001ud-blog-ldcq7d5id-lekandigitals-projects.vercel.app	2026-07-09T22:44:33.214000+00:00	production	READY	main	6f4ee5c2b789cdb7237957b0da5e6bed8f7c17d3		
cottonwood-deeptech-ai-demo	dpl_4bw3JQpLfAk7hahWtXNHEUA25T41	https://cottonwood-deeptech-ai-demo-1jaefljik-lekandigitals-projects.vercel.app	2026-07-08T17:22:00.639000+00:00	production	READY	main	4c44ae52b037c85f2e4e2c46abc5114dbc49e313		
posepuppet	dpl_H5UUfwrzQzW8phqQ1RYumzeuDbXD	https://posepuppet-mxlhzf2qk-lekandigitals-projects.vercel.app	2026-07-09T18:31:55.831000+00:00		READY	bodyarcade-rowing-fable	a39d6446a3540871e8706f2a911ebdca72b1704d		
