archive_name	archive_root	candidate_root	candidate_type	framework	package_manager	lockfile	project_name
liquid-glass-fluid-movement-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-fluid-movement-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-fluid-movement-1/liquid-glass-fluid-movement/src	static-html	static-html	npm		glasslab-liquid-glass-fluid-movement-1-liquid-glass-fluid-movement-src
liquid-glass-react-master	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-react-master	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-react-master/liquid-glass-react-master	unknown	unknown	bun	bun.lock	glasslab-liquid-glass-react-master-liquid-glass-react-master
liquid-glass-react-master	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-react-master	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-react-master/liquid-glass-react-master/liquid-glass-example	nextjs	nextjs	bun	bun.lock	glasslab-liquid-glass-react-master-liquid-glass-react-master-liquid-glass-example
apple-liquid-glass-1	/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-1	/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-1/apple-liquid-glass/src	static-html	static-html	npm		glasslab-apple-liquid-glass-1-apple-liquid-glass-src
liquid-glass-shader	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-shader	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-shader/liquid-glass-shader/src	static-html	static-html	npm		glasslab-liquid-glass-shader-liquid-glass-shader-src
liquid-glass-5	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-5	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-5/liquid-glass/src	static-html	static-html	npm		glasslab-liquid-glass-5-liquid-glass-src
liquid-glass-2	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-2	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-2/liquid-glass/src	static-html	static-html	npm		glasslab-liquid-glass-2-liquid-glass-src
liquid-glass-switcher-css-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-switcher-css-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-switcher-css-1/liquid-glass-switcher-css/src	static-html	static-html	npm		glasslab-liquid-glass-switcher-css-1-liquid-glass-switcher-css-src
liquid-glass-4	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-4	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-4/liquid-glass/src	codepen-export	codepen-export	npm		glasslab-liquid-glass-4-liquid-glass-src
apple-liquid-glass-experiments-1	/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-experiments-1	/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-experiments-1/apple-liquid-glass-experiments/src	static-html	static-html	npm		glasslab-apple-liquid-glass-experiments-1-apple-liquid-glass-experiments-src
